IME,KOSA,PERJE,JAJA,MLEKO,VAZDUH,VODA,PREDATOR,ZUBI,KICMA,DISE,OTROVNA,PERAJA,NOGE,REP,DOMACA,KLASA
A,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,A
B,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
C,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
D,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,A
E,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
F,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
G,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,A
H,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,D
I,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
J,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,A
K,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
L,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,B
M,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
N,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,G
O,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,G
P,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,G
R,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,B
S,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
T,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
U,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,A
V,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,B
W,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,B
X,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
Y,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,B
Z,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,F
AA,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,E
AB,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,E
AC,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,A
AD,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
AE,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,A
AF,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,F
AG,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,A
AH,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,A
AI,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,B
AJ,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,D
AK,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,A
AL,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
AM,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,B
AN,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
AO,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,F
AP,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,F
AR,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,B
AS,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,F
AT,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,B
AU,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
AV,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
AW,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,G
AX,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
AY,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,A
AZ,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BA,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BB,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,F
BC,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,E
BD,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,G
BE,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BF,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
BG,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,B
BH,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,B
BI,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,B
BJ,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,B
BK,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
BL,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
BM,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,C
BN,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,A
BO,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BP,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,A
BR,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,A
BS,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BT,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,A
BU,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
BV,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,A
BW,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,B
BX,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,G
BY,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,D
BZ,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,A
CA,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,A
CB,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,C
CC,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,G
CD,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,B
CE,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,B
CF,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,C
CG,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,G
CH,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,D
CI,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,B
CJ,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,A
CK,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,G
CL,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,D
CM,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,B
CN,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,F
CO,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,E
CP,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,C
CR,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,C
CS,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,D
CT,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,A
CU,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,A
CV,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,B
CW,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,A
CX,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,F
CY,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,A
CZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,G
DA,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,B
